,0,1,2,3,4,5,6,7,8,9,10
0,青山 Sunny Terrace【サニーテラス】 ,35.668481,139.718375,http://mobile.gnavi.co.jp/shop/g801414/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8fbhubxh0000/t_005b.jpg,月～日 10:00～24:00,無,"{'line': '地下鉄銀座線', 'station_exit': {}, 'walk': '2', 'note': {}, 'station': '外苑前駅'}",3980,3980,"['ビール', 'パーティールーム・スペース']"
1,鎌倉野菜とチーズフォンデュ 渋谷ガーデンファーム 渋谷駅前店,35.656914,139.702939,http://mobile.gnavi.co.jp/shop/gaxn701/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/bz7yft7z0000/t_009q.jpg, 10:00～24:00(【↑ご予約可能時間↑】  予約コンシェルジュがご要望、ご予算や日程のご相談など随時受け付けております。お気軽にご相談ください。)<BR>月～木・日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金・土・祝前日 ディナー：17:00～翌3:00(L.O.2:00、ドリンクL.O.2:30),無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2980,{},"['イタリアン(イタリア料理)', '居酒屋']"
2,青山 Natural Brown Cafe 【ナチュラルブラウンカフェ】,35.668239,139.720433,http://mobile.gnavi.co.jp/shop/g801421/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/mu55syyz0000/t_004u.jpg,月～日 10:00～24:00,無,"{'line': '地下鉄銀座線', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '外苑前駅'}",3980,900,"['ダイニングバー', '欧米・各国料理 その他']"
3,渋谷 Fiesta【フィエスタ】 ,35.661147,139.703739,http://mobile.gnavi.co.jp/shop/g801409/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/pcu63vuu0000/t_007o.jpg,月～日 11:00～24:00,無,"{'line': '東急東横線', 'station_exit': {}, 'walk': '5', 'note': {}, 'station': '渋谷駅'}",3980,{},"['バンケットルーム', '欧米・各国料理 その他']"
4,BEER＆BBQ Bambina ～バンビーナ～ 渋谷駅前店,35.656953,139.70295,http://mobile.gnavi.co.jp/shop/a236463/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8ueercv90000/t_0000.jpg, 10:00～24:00(【↑ご予約可能時間↑】  予約コンシェルジュがご要望、ご予算や日程のご相談など随時受け付けております。お気軽にご相談ください。)<BR>月～木・日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金・土・祝前日 ディナー：17:00～翌3:00(L.O.2:00、ドリンクL.O.2:30),無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2980,{},"['焼肉', '居酒屋']"
5,青山 Green Grass Cafe 【グリーングラスカフェ】,35.666917,139.718194,http://mobile.gnavi.co.jp/shop/g801422/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/e55xn38w0000/t_0000.jpg,月～日 12:00～翌5:00,無,"{'line': '地下鉄銀座線', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '外苑前駅'}",3980,1000,"['ダイニングバー', 'バンケットルーム']"
6,個室居酒屋 季作 渋谷店,35.656728,139.702161,http://mobile.gnavi.co.jp/shop/gacc400/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1h2d7w3a0000/t_007a.jpg,月～木・日・祝日 12:00～24:00(L.O.23:30)(お昼のご宴会もお気軽にお問い合わせください)<BR>金・土・祝前日 12:00～翌5:00(お昼のご宴会もお気軽にお問い合わせください),無,"{'line': 'ＪＲ', 'station_exit': 'ハチ公口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",2980,2480,"['居酒屋', {'@attributes': {'order': '1'}}]"
7,100円チキン南蛮食べ放題 永山本店 渋谷,35.65805,139.705272,http://mobile.gnavi.co.jp/shop/e544006/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/pvmm52kb0000/t_00sd.jpg,月～金 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)、ランチ：11:30～15:00(L.O.14:45)(※ランチ営業は2016年3月10日～開始いたします。)<BR>土・日・祝 12:00～24:00(L.O.23:00、ドリンクL.O.23:30)(※ランチ営業は2016年3月10日～開始いたします。   ディナー営業は17:00～),無,"{'line': '地下鉄副都心線', 'station_exit': '13番出口', 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3000,800,"['居酒屋', 'バイキング・ビュッフェ']"
8,全席完全個室 居酒屋 神楽屋 ,35.654925,139.702586,http://mobile.gnavi.co.jp/shop/e944802/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/61wpkk3h0000/t_004j.jpg,月～日・祝前日・祝日 12:00～翌5:00(都合により変更する場合もございます。ご了承ください。),無,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '1', 'note': {}, 'station': '渋谷駅'}",3000,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
9,個室居酒屋×食べ放題 梵‐BONE‐ 渋谷店,35.657972,139.701128,http://mobile.gnavi.co.jp/shop/gdan502/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,{}, 11:30～翌5:00(L.O.4:30),年中無休,"{'line': 'ＪＲ', 'station_exit': {}, 'walk': '3', 'note': {}, 'station': '渋谷駅'}",2500,1000,"['焼肉', {'@attributes': {'order': '1'}}]"
