,0,1,2,3,4,5,6,7,8,9,10,11,12
0,g801422,青山 Green Grass Cafe 【グリーングラスカフェ】,35.666917,139.718194,http://mobile.gnavi.co.jp/shop/g801422/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/e55xn38w0000/t_0000.jpg,http://uds.gnst.jp/rest/img/e55xn38w0000/t_0001.jpg,月～日 12:00～翌5:00,無,"{'note': {}, 'walk': '3', 'station': '外苑前駅', 'line': '地下鉄銀座線', 'station_exit': {}}",3980,1000,"['ダイニングバー', 'バンケットルーム']"
1,g801409,渋谷 Fiesta【フィエスタ】 ,35.661147,139.703739,http://mobile.gnavi.co.jp/shop/g801409/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/pcu63vuu0000/t_007o.jpg,{},月～日 11:00～24:00,無,"{'note': {}, 'walk': '5', 'station': '渋谷駅', 'line': '東急東横線', 'station_exit': {}}",3980,{},"['バンケットルーム', '欧米・各国料理 その他']"
2,a236463,BEER＆BBQ Bambina ～バンビーナ～ 渋谷駅前店,35.656953,139.702950,http://mobile.gnavi.co.jp/shop/a236463/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8ueercv90000/t_0000.jpg,{}, 10:00～24:00(【↑ご予約可能時間↑】  予約コンシェルジュがご要望、ご予算や日程のご相談など随時受け付けております。お気軽にご相談ください。)<BR>月～木・日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金・土・祝前日 ディナー：17:00～翌3:00(L.O.2:00、ドリンクL.O.2:30),無,"{'note': {}, 'walk': '1', 'station': '渋谷駅', 'line': 'ＪＲ', 'station_exit': 'ハチ公口'}",2980,{},"['焼肉', '居酒屋']"
3,g801414,青山 Sunny Terrace【サニーテラス】 ,35.668481,139.718375,http://mobile.gnavi.co.jp/shop/g801414/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8fbhubxh0000/t_005b.jpg,{},月～日 10:00～24:00,無,"{'note': {}, 'walk': '2', 'station': '外苑前駅', 'line': '地下鉄銀座線', 'station_exit': {}}",3980,3980,"['ビール', 'パーティールーム・スペース']"
4,g801421,青山 Natural Brown Cafe 【ナチュラルブラウンカフェ】,35.668239,139.720433,http://mobile.gnavi.co.jp/shop/g801421/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/mu55syyz0000/t_004u.jpg,http://uds.gnst.jp/rest/img/mu55syyz0000/t_0055.jpg,月～日 10:00～24:00,無,"{'note': {}, 'walk': '1', 'station': '外苑前駅', 'line': '地下鉄銀座線', 'station_exit': {}}",3980,900,"['ダイニングバー', '欧米・各国料理 その他']"
5,gaxn701,鎌倉野菜とチーズフォンデュ 渋谷ガーデンファーム 渋谷駅前店,35.656914,139.702939,http://mobile.gnavi.co.jp/shop/gaxn701/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/bz7yft7z0000/t_009q.jpg,{}, 10:00～24:00(【↑ご予約可能時間↑】  予約コンシェルジュがご要望、ご予算や日程のご相談など随時受け付けております。お気軽にご相談ください。)<BR>月～木・日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金・土・祝前日 ディナー：17:00～翌3:00(L.O.2:00、ドリンクL.O.2:30),無,"{'note': {}, 'walk': '1', 'station': '渋谷駅', 'line': 'ＪＲ', 'station_exit': 'ハチ公口'}",2980,{},"['イタリアン(イタリア料理)', '居酒屋']"
6,gd7a000,全席完全個室×AQUA 竜宮の囲 渋谷駅前店,35.657778,139.701667,http://mobile.gnavi.co.jp/shop/gd7a000/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/ae2s6dyz0000/t_00sk.jpg,http://uds.gnst.jp/rest/img/ae2s6dyz0000/t_00nt.jpg, 17:00～翌4:30(L.O.3:30),年中無休,"{'note': {}, 'walk': '3', 'station': '渋谷駅', 'line': 'ＪＲ', 'station_exit': 'ハチ公口'}",2600,{},"['居酒屋', {'@attributes': {'order': '1'}}]"
7,ge3n800,YANEURA by Tiered ,35.656878,139.702331,http://mobile.gnavi.co.jp/shop/ge3n800/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/rz2x7gag0000/t_0000.jpg,http://uds.gnst.jp/rest/img/rz2x7gag0000/t_0001.jpg, 12:00～翌5:00(L.O.4:30),無,"{'note': {}, 'walk': '2', 'station': '渋谷駅', 'line': 'ＪＲ', 'station_exit': 'ハチ公口'}",3000,800,"['パーティールーム・スペース', {'@attributes': {'order': '1'}}]"
8,gdty223,KI・I・CHI ,35.657936,139.701736,http://mobile.gnavi.co.jp/shop/gdty223/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/9js3etkw0000/t_0000.jpg,{},月～日 16:00～翌5:00,年中無休,"{'note': {}, 'walk': '3', 'station': '渋谷駅', 'line': 'ＪＲ', 'station_exit': {}}",2900,{},"['イタリアン(イタリア料理)', {'@attributes': {'order': '1'}}]"
9,gdpf900,リゾート個室 ALOHA Dining 渋谷,35.658303,139.701208,http://mobile.gnavi.co.jp/shop/gdpf900/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1m6z2jy70000/t_0009.jpg,{}, ランチ：12:00～17:00(ランチタイムは宴会・パーティーのみ受付ます。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日 17:00～24:00(L.O.23:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:30)(※17:00までのご来店は事前予約が必要となります。  ※お電話は10:00～24:00まで繋がります。),無,"{'note': {}, 'walk': '3', 'station': '渋谷駅', 'line': 'ＪＲ', 'station_exit': {}}",2500,2980,"['居酒屋', {'@attributes': {'order': '1'}}]"
