,0,1
0,g801422,1
1,g801414,1
2,ge3n800,1
3,gdty223,1
4,gdpf900,1
5,e544006,1
6,e113143,1
7,gdh3206,1
8,gej5600,1
9,e944802,1
10,gct6512,1
11,gdan502,1
12,ge55100,1
13,gb3a108,1
14,gacc400,1
15,a058407,1
16,gc06402,1
17,gdpf901,1
18,g060403,1
19,gb3a122,1
20,gb3a101,1
21,a058414,1
22,gb3a121,1
23,gdh3201,1
24,g306506,1
25,gdmy700,1
26,a521901,1
27,gdh3207,1
28,gccb200,1
29,gdk9500,1
30,ge9n700,1
31,gccb204,1
32,e853400,1
33,gdsj400,1
34,ga15800,1
35,ge2p500,1
36,ge8j602,1
37,gccb202,1
38,gc8j002,1
39,g045639,1
40,gdh3200,1
41,a889200,1
42,ge8j601,1
43,ge6s700,1
44,gc1r600,1
45,gdxm300,1
46,gea3500,1
47,g285100,1
48,gdgx200,1
49,gdxm301,1
50,e615700,1
51,g641707,1
52,a496003,1
53,e295824,1
54,a496005,1
55,ge8f300,1
56,gccb205,1
57,ga64602,1
58,ged6700,1
59,a889203,1
60,ge6p700,1
61,a540403,1
62,gedf101,1
63,ga64603,1
64,gd7p700,1
65,a058438,1
66,gdty213,1
67,gejp600,1
68,gcw0202,1
69,g066204,1
70,e604200,1
71,a331615,1
72,g466921,1
73,e940523,1
74,ga13000,1
75,ge20201,1
76,gc80900,1
77,ge86600,1
78,a521909,1
79,gehw302,1
80,g011043,1
81,a224401,1
82,a835915,1
83,gahx005,1
84,g454160,1
85,gcw0200,1
86,a799802,1
87,g466917,1
88,gavz101,1
89,gak4002,1
90,gay5801,1
91,ge4s400,1
92,gchd100,1
93,gazw500,1
94,a058496,1
95,g098405,1
96,ge27000,1
97,g156600,1
98,p825400,1
99,b205000,1
100,a680500,1
101,e849914,1
102,ga1t402,1
103,a616545,1
104,gc6m211,1
105,gb3a104,1
106,g311803,1
107,g714667,1
108,a279100,1
109,gdbu201,1
110,gc98503,1
111,gd5m500,1
112,gew9900,1
113,g853181,1
114,a616549,1
115,gcze418,1
116,geb8201,1
117,e944810,1
118,gazu500,1
119,gb2j800,1
120,e192501,1
121,a616591,1
122,b840500,1
123,gdvb800,1
124,g812903,1
125,g528967,1
126,gc51700,1
127,gd3z284,1
128,gdzh600,1
129,gers001,1
130,gd6b800,1
131,g466901,1
132,b168701,1
133,g729105,1
134,e940520,1
135,gd5s403,1
136,gc6m218,1
