,0,1
0,g801422,1
1,g801414,1
2,g801421,1
3,gaxn701,1
4,ge3n800,1
5,gdpf900,1
6,e544006,1
7,e113143,1
8,gdh3206,1
9,gej5600,1
10,e944802,1
11,gct6512,1
12,gdan502,1
13,gb3a108,1
14,gacc400,1
15,gb3a101,1
16,g306506,1
17,gdmy700,1
18,a521901,1
19,gdh3207,1
20,e853400,1
21,ge2p500,1
22,g384300,1
23,ge8j602,1
24,gccb202,1
25,g045639,1
26,a889200,1
27,ge8j601,1
28,a236431,1
29,g694503,1
30,gdxm300,1
31,gea3500,1
32,a236411,1
33,gdgx200,1
34,gdxm301,1
35,g641707,1
36,a236452,1
37,a496003,1
38,a496005,1
39,a236402,1
40,g359501,1
41,a236451,1
42,a236406,1
43,b181500,1
44,ge8f300,1
45,gccb205,1
46,ga64602,1
47,ged6700,1
48,a889203,1
49,gdk7300,1
50,a540403,1
51,g197100,1
52,gedf101,1
53,gayx205,1
54,ga64603,1
55,gd7p700,1
56,g085704,1
57,gacb207,1
58,gejp600,1
59,g005301,1
60,gcvz301,1
61,gcw0202,1
62,e604200,1
63,g466921,1
64,ge2s200,1
65,ge20201,1
66,gc80900,1
67,ge86600,1
68,b121300,1
69,gehw302,1
70,g011043,1
71,g188300,1
72,a224401,1
73,a835915,1
74,g094600,1
75,gahx005,1
76,gcw0200,1
77,a799802,1
78,g466917,1
79,gavz101,1
80,gak4002,1
81,ge4s400,1
82,gchd100,1
83,g098405,1
84,g156600,1
85,gc5c701,1
86,p825400,1
87,a680500,1
88,ga1t402,1
89,g694501,1
90,e236900,1
91,g078504,1
92,g714667,1
93,e091800,1
94,gdbu201,1
95,b441510,1
96,g076816,1
97,gdnh500,1
98,gc98503,1
99,g080505,1
100,ga11202,1
101,a418556,1
102,gd5m500,1
103,gew9900,1
104,g853181,1
105,ga3v260,1
106,gcze418,1
107,geb8201,1
108,e944810,1
109,gddc700,1
110,gb2j800,1
111,gdpy002,1
112,gdty700,1
113,a616591,1
114,gdvb800,1
115,g528967,1
116,gc51700,1
117,ge1u400,1
118,gdzh600,1
119,gers001,1
120,gd6b800,1
121,g466901,1
122,e940520,1
123,gd5s403,1
124,g242001,1
125,g853111,1
126,b817200,1
127,p810300,1
128,a616577,1
129,a035000,1
130,a454938,1
131,g466928,1
132,g572212,1
133,gdx0900,1
134,gern000,1
135,ge58100,1
136,a332675,1
137,b628602,1
138,garp112,1
