,,,,,,,,,,,,,,居酒屋,日本料理・郷土料理,すし・魚料理・シーフード,鍋,焼肉・ホルモン,焼き鳥・肉料理・串料理,和食,お好み焼き・粉物,ラーメン・麺料理,中華,イタリアン・フレンチ,洋食,欧米・各国料理,カレー,アジア・エスニック料理,オーガニック・創作料理,ダイニングバー・バー・ビアホール,お酒,カフェ・スイーツ,宴会・カラオケ・エンターテイメント,ファミレス・ファーストフード,その他の料理
0,gaxn701,鎌倉野菜とチーズフォンデュ 渋谷ガーデンファーム 渋谷駅前店,35.656914,139.702939,〒150-0042 東京都渋谷区宇田川町24-4 センター244ビル3F,http://mobile.gnavi.co.jp/shop/gaxn701/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/bz7yft7z0000/t_009q.jpg,{}, 10:00～24:00(【↑ご予約可能時間↑】  予約コンシェルジュがご要望、ご予算や日程のご相談など随時受け付けております。お気軽にご相談ください。)<BR>月～木・日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金・土・祝前日 ディナー：17:00～翌3:00(L.O.2:00、ドリンクL.O.2:30),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2980,1363,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,a236463,BEER＆BBQ Bambina ～バンビーナ～ 渋谷駅前店,35.656953,139.70295,〒150-0042 東京都渋谷区宇田川町24-4 センター244ビル4F,http://mobile.gnavi.co.jp/shop/a236463/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8ueercv90000/t_0000.jpg,{}, 10:00～24:00(【↑ご予約可能時間↑】  予約コンシェルジュがご要望、ご予算や日程のご相談など随時受け付けております。お気軽にご相談ください。)<BR>月～木・日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)<BR>金・土・祝前日 ディナー：17:00～翌3:00(L.O.2:00、ドリンクL.O.2:30),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2980,1363,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,g801409,渋谷 Fiesta【フィエスタ】 ,35.661147,139.703739,〒150-0041 東京都渋谷区神南1-8-18 神南フラッツB1,http://mobile.gnavi.co.jp/shop/g801409/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/pcu63vuu0000/t_007o.jpg,{},月～日 11:00～24:00,無,"{'note': {}, 'line': '東急東横線', 'walk': '5', 'station': '渋谷駅', 'station_exit': {}}",3980,1820,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,g801422,青山 Green Grass Cafe 【グリーングラスカフェ】,35.666917,139.718194,〒107-0061 東京都港区北青山2-12-31 イノセビルB1,http://mobile.gnavi.co.jp/shop/g801422/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/e55xn38w0000/t_0000.jpg,http://uds.gnst.jp/rest/img/e55xn38w0000/t_0001.jpg,月～日 12:00～翌5:00,無,"{'note': {}, 'line': '地下鉄銀座線', 'walk': '3', 'station': '外苑前駅', 'station_exit': {}}",3980,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,g801421,青山 Natural Brown Cafe 【ナチュラルブラウンカフェ】,35.668239,139.720433,〒107-0061 東京都港区北青山2-7-26,http://mobile.gnavi.co.jp/shop/g801421/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/mu55syyz0000/t_004u.jpg,http://uds.gnst.jp/rest/img/mu55syyz0000/t_0055.jpg,月～日 10:00～24:00,無,"{'note': {}, 'line': '地下鉄銀座線', 'walk': '1', 'station': '外苑前駅', 'station_exit': {}}",3980,1820,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5,g801414,青山 Sunny Terrace【サニーテラス】 ,35.668481,139.718375,〒107-0061 東京都港区北青山2-10-24,http://mobile.gnavi.co.jp/shop/g801414/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/8fbhubxh0000/t_005b.jpg,{},月～日 10:00～24:00,無,"{'note': {}, 'line': '地下鉄銀座線', 'walk': '2', 'station': '外苑前駅', 'station_exit': {}}",3980,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,e113143,さくらさくら 渋谷店,35.655081,139.703067,〒150-0043 東京都渋谷区道玄坂1-3-1 飯島ビルB2,http://mobile.gnavi.co.jp/shop/e113143/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/fppnwbg70000/t_0051.jpg,http://uds.gnst.jp/rest/img/fppnwbg70000/t_0052.jpg,月～日 17:00～24:00(L.O.23:30),無<BR>※（年末年始は、お問い合わせ下さい。）,"{'note': {}, 'line': 'ＪＲ', 'walk': '2', 'station': '渋谷駅', 'station_exit': {}}",3000,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,gdpf900,リゾート個室 ALOHA Dining 渋谷,35.658303,139.701208,〒150-0042 東京都渋谷区宇田川町12-7 渋谷エメラルドビル7F,http://mobile.gnavi.co.jp/shop/gdpf900/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/1m6z2jy70000/t_0009.jpg,{}, ランチ：12:00～17:00(ランチタイムは宴会・パーティーのみ受付ます。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日 17:00～24:00(L.O.23:30)<BR>金・土・祝前日 17:00～翌5:00(L.O.4:30)(※17:00までのご来店は事前予約が必要となります。  ※お電話は10:00～24:00まで繋がります。),無,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': {}}",2500,1143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,getg101,隠れ家個室居酒屋 茶流云‐SALOON‐ 渋谷,35.654925,139.702572,〒150-0043 東京都渋谷区道玄坂1-5-9 ザ・レンガビル7F,http://mobile.gnavi.co.jp/shop/getg101/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/6swmj4d40000/t_001l.jpg,{}, 17:00～24:00,無,"{'note': {}, 'line': 'ＪＲ', 'walk': '1', 'station': '渋谷駅', 'station_exit': {}}",2800,1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,gdpf901,完全個室×和肉バル KANATA－かなた－ 渋谷センター街店,35.657969,139.701128,〒150-0042 東京都渋谷区宇田川町31-9 ハナテイビル6F,http://mobile.gnavi.co.jp/shop/gdpf901/?ak=UPL2puO1pD36LuAD9%2BwdyHJIDfgJQIPLdBYpMCczMlo%3D,http://uds.gnst.jp/rest/img/mj4an72s0000/t_0001.jpg,http://uds.gnst.jp/rest/img/mj4an72s0000/t_000r.jpg, ランチ：12:00～17:00(※ランチタイムは宴会・パーティーのみ受付ます。人数・ご予算などお気軽にご相談ください。)<BR>月～木・日 16:00～24:00(L.O.23:30)<BR>金・土・祝前日 16:00～翌5:00(L.O.4:30)(※16：00までのご来店は事前予約が必要となります。),年中無休,"{'note': {}, 'line': 'ＪＲ', 'walk': '3', 'station': '渋谷駅', 'station_exit': 'ハチ公口'}",2980,1363,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
